81,82,1839
82,83,1840
83,84,1841
84,85,1842
85,86,1843
86,87,1844
87,88,1845
88,89,1846
89,90,1847
90,91,1848
91,92,1849
25,82,1783
26,84,1784
27,86,1785
28,89,1786
29,91,1787
30,92,1788
13,82,1771
16,86,1774
18,87,1776
21,89,1779
24,92,1782
21,75,1779
13,65,1771
16,70,1774
18,71,1776
24,1757,1782
93,94,1851
93,95,1851
95,96,1853
94,96,1852
95,97,1853
97,98,1855
98,99,1856
99,100,1857
99,73,1857
100,102,1858
101,102,1859
101,103,1859
103,104,1861
104,105,1862
105,106,1863
106,108,1864
107,108,1865
105,107,1863
108,1757,1866
78,106,1836
80,103,1838
79,98,1837
71,100,1829
73,101,1831
70,99,1828
75,101,1833
66,95,1824
65,94,1823
66,136,1824
136,169,1894
169,202,1927
202,234,1960
234,269,1992
73,277,1831
277,305,2035
305,337,2063
337,367,2095
367,398,2125
398,429,2156
429,460,2187
460,488,2218
78,569,1836
569,600,2327
600,629,2358
629,659,2387
659,686,2417
686,713,2444
136,140,1894
140,142,1898
142,143,1900
143,141,1901
141,136,1899
169,173,1927
173,175,1931
175,176,1933
176,174,1934
174,169,1932
202,206,1960
206,208,1964
208,209,1966
209,207,1967
207,202,1965
234,238,1992
238,240,1996
240,241,1998
241,239,1999
239,234,1997
269,273,2027
273,275,2031
275,276,2033
276,274,2034
274,269,2032
277,519,2035
519,517,2277
517,516,2275
516,518,2274
518,277,2276
305,523,2063
523,521,2281
521,520,2279
520,522,2278
522,305,2280
337,527,2095
527,525,2285
525,524,2283
524,526,2282
526,337,2284
367,531,2125
531,529,2289
529,528,2287
528,530,2286
530,367,2288
398,535,2156
535,533,2293
533,532,2291
532,534,2290
534,398,2292
429,539,2187
539,537,2297
537,536,2295
536,538,2294
538,429,2296
460,543,2218
543,541,2301
541,540,2299
540,542,2298
542,460,2300
488,547,2246
547,545,2305
545,544,2303
544,546,2302
546,488,2304
569,720,2327
720,721,2478
721,718,2479
718,719,2476
719,569,2477
600,724,2358
724,725,2482
725,722,2483
722,723,2480
723,600,2481
629,728,2387
728,729,2486
729,726,2487
726,727,2484
727,629,2485
659,732,2417
732,733,2490
733,730,2491
730,731,2488
731,659,2489
686,736,2444
736,737,2494
737,734,2495
734,735,2492
735,686,2493
713,740,2471
740,741,2498
741,738,2499
738,739,2496
739,713,2497
29,742,1787
742,748,2500
748,769,2506
769,767,2527
767,766,2525
766,765,2524
765,764,2523
765,761,2523
764,753,2522
767,758,2525
769,770,2527
770,771,2528
771,787,2529
771,804,2529
804,805,2562
770,775,2528
804,800,2562
805,819,2563
806,819,2564
818,819,2576
818,811,2576
813,818,2571
816,819,2574
803,805,2561
804,799,2562
796,771,2554
799,796,2557
799,797,2557
796,794,2554
797,792,2555
797,780,2555
780,794,2538
771,774,2529
770,772,2528
804,801,2562
803,864,2561
801,861,2559
774,844,2532
772,841,2530
872,871,2630
871,875,2629
875,872,2633
875,874,2633
874,873,2632
873,869,2631
868,873,2626
813,869,2571
816,872,2574
787,854,2545
758,829,2516
761,832,2519
864,874,2622
864,863,2622
863,861,2621
861,838,2619
838,835,2596
838,855,2596
855,835,2613
854,855,2612
838,857,2596
857,835,2615
857,858,2615
858,859,2616
835,844,2593
844,843,2602
843,841,2601
841,840,2599
840,826,2598
840,825,2598
826,825,2584
825,833,2583
825,820,2583
825,832,2583
826,827,2584
827,829,2585
829,830,2587
830,827,2588
830,919,2588
919,962,2677
962,1004,2720
1004,1044,2762
1044,1081,2802
1081,1122,2839
1122,1162,2880
833,916,2591
916,959,2674
959,1001,2717
1001,1041,2759
1041,1078,2799
1078,1119,2836
1119,1159,2877
855,1168,2613
1168,1206,2926
1206,1243,2964
1243,1279,3001
1279,1312,3037
1312,1350,3070
1350,1387,3108
1387,1427,3145
1427,1471,3185
868,1572,2626
1572,1599,3330
1599,1629,3357
1629,1660,3387
1660,1690,3418
1690,1722,3448
871,1573,2629
1573,1600,3331
1600,1630,3358
1630,1661,3388
1661,1691,3419
1691,1723,3449
919,924,2677
916,922,2674
924,922,2682
916,921,2674
921,923,2679
923,919,2681
962,967,2720
959,965,2717
967,965,2725
959,964,2717
964,966,2722
966,962,2724
1004,1009,2762
1001,1007,2759
1009,1007,2767
1001,1006,2759
1006,1008,2764
1008,1004,2766
1044,1049,2802
1041,1047,2799
1049,1047,2807
1041,1046,2799
1046,1048,2804
1048,1044,2806
1081,1086,2839
1078,1084,2836
1086,1084,2844
1078,1083,2836
1083,1085,2841
1085,1081,2843
1122,1127,2880
1119,1125,2877
1127,1125,2885
1119,1124,2877
1124,1126,2882
1126,1122,2884
1162,1167,2920
1159,1165,2917
1167,1165,2925
1159,1164,2917
1164,1166,2922
1166,1162,2924
1168,1512,2926
1512,1511,3270
1511,1509,3269
1509,1510,3267
1510,1168,3268
1206,1516,2964
1516,1515,3274
1515,1514,3273
1514,1513,3272
1513,1206,3271
1243,1520,3001
1520,1519,3278
1519,1518,3277
1518,1517,3276
1517,1243,3275
1279,1524,3037
1524,1523,3282
1523,1522,3281
1522,1521,3280
1521,1279,3279
1312,1528,3070
1528,1527,3286
1527,1526,3285
1526,1525,3284
1525,1312,3283
1350,1532,3108
1532,1531,3290
1531,1530,3289
1530,1529,3288
1529,1350,3287
1387,1536,3145
1536,1535,3294
1535,1534,3293
1534,1533,3292
1533,1387,3291
1427,1540,3185
1540,1539,3298
1539,1538,3297
1538,1537,3296
1537,1427,3295
1471,1544,3229
1544,1543,3302
1543,1542,3301
1542,1541,3300
1541,1471,3299
1572,1735,3330
1735,1736,3493
1736,1573,3494
1573,1733,3331
1733,1734,3491
1734,1572,3492
1599,1739,3357
1739,1740,3497
1740,1600,3498
1600,1737,3358
1737,1738,3495
1738,1599,3496
1629,1743,3387
1743,1744,3501
1744,1630,3502
1630,1741,3388
1741,1742,3499
1742,1629,3500
1660,1747,3418
1747,1748,3505
1748,1661,3506
1661,1745,3419
1745,1746,3503
1746,1660,3504
1690,1751,3448
1751,1752,3509
1752,1691,3510
1691,1749,3449
1749,1750,3507
1750,1690,3508
1722,1755,3480
1755,1756,3513
1756,1723,3514
1723,1753,3481
1753,1754,3511
1754,1722,3512
0,81,1758
1,83,1759
2,83,1760
3,84,1761
4,85,1762
5,87,1763
6,88,1764
7,89,1765
8,90,1766
9,91,1767
10,92,1768
12,82,1770
14,82,1772
15,86,1773
17,87,1775
20,89,1778
22,92,1780
23,92,1781
31,95,1789
32,95,1790
33,95,1791
34,95,1792
35,95,1793
36,95,1794
37,95,1795
38,95,1796
39,95,1797
40,95,1798
41,95,1799
42,95,1800
43,95,1801
44,95,1802
45,95,1803
46,96,1804
47,98,1805
48,103,1806
49,96,1807
50,94,1808
51,93,1809
52,93,1810
53,97,1811
54,97,1812
55,99,1813
56,101,1814
57,104,1815
58,104,1816
59,106,1817
60,106,1818
61,108,1819
62,107,1820
63,105,1821
64,105,1822
67,94,1825
68,98,1826
69,101,1827
72,102,1830
74,103,1832
76,103,1834
77,107,1835
109,142,1867
110,142,1868
111,142,1869
112,142,1870
113,143,1871
114,143,1872
115,143,1873
116,143,1874
117,143,1875
118,143,1876
119,143,1877
120,143,1878
121,143,1879
122,143,1880
123,141,1881
124,141,1882
125,141,1883
126,140,1884
127,140,1885
128,140,1886
129,140,1887
130,140,1888
131,140,1889
132,142,1890
133,142,1891
134,142,1892
